Profile,,,wipe_tower_extruder,Wipe tower extruder,coInt,The extruder to use when printing perimeter of the wipe tower. Set to 0 to use the one that is available (non-soluble would be preferred).,Deleted
Build Time : 2024-11-21 at 09:25:32 UTC,Commit :7d94698f40f53400c7a7b4b22e638e3a09ee0660,,,,,,,
Field,Main Group,Sub Group,Key,Name,Type,Description,Change Info,
Printer,Basic information,Cooling Fan,fan_speedup_time,,coFloat,Start the fan this number of seconds earlier than its target start time (you can use fractional seconds). It assumes infinite acceleration for this time estimation; and will only take into account G1 and G0 moves (arc fitting is unsupported).;It won't move fan comands from custom gcodes (they act as a sort of 'barrier').;It won't move fan comands into the start gcode if the 'only custom start gcode' is activated.;Use 0 to deactivate.,Unchanged,
Printer,Basic information,Extruder Clearance,extruder_clearance_height_to_lid,Height to lid,coFloat,Distance of the nozzle tip to the lid. Used for collision avoidance in by-object printing.,Unchanged,
Printer,Basic information,Extruder Clearance,extruder_clearance_height_to_rod,Height to rod,coFloat,Distance of the nozzle tip to the lower rod. Used for collision avoidance in by-object printing.,Unchanged,
Printer,Basic information,Extruder Clearance,extruder_clearance_radius,Radius,coFloat,Clearance radius around extruder. Used for collision avoidance in by-object printing.,Unchanged,
Printer,Basic information,Printable space,bed_exclude_area,Bed exclude area,coPoints,"Unprintable area in XY plane. For example; X1 Series printers use the front left corner to cut filament during filament change. The area is expressed as polygon by points in following format: ""XxY; XxY; ...""",Unchanged,
Printer,Basic information,Printable space,best_object_pos,Best object position,coPoint,Best auto arranging position in range [0;1] w.r.t. bed shape.,Unchanged,
Printer,Basic information,Printable space,nozzle_volume,Nozzle volume,coFloat,Volume of nozzle between the cutter and the end of nozzle,Unchanged,
Printer,Basic information,Printable space,preferred_orientation,Preferred orientation,coFloat,Automatically orient stls on the Z-axis upon initial import,Unchanged,
Printer,Basic information,Printable space,printable_area,Printable area,coPoints,,Unchanged,
Printer,Basic information,Printable space,printable_height,Printable height,coFloat,Maximum printable height which is limited by mechanism of printer,Unchanged,
Printer,Basic information,Printable space,support_multi_bed_types,Support multi bed types,coBool,Enable this option if you want to use multiple bed types,Unchanged,
Printer,Basic information,Printable space,z_offset,Z offset,coFloat,This value will be added (or subtracted) from all the Z coordinates in the output G-code. It is used to compensate for bad Z endstop position: for example; if your endstop zero actually leaves the nozzle 0.3mm far from the print bed; set this to -0.3 (or fix your endstop).,Unchanged,
Printer,Extruder 1,Layer height limits,max_layer_height,Max,coFloats,The largest printable layer height for extruder. Used tp limits the maximum layer hight when enable adaptive layer height,Unchanged,
Printer,Extruder 1,Layer height limits,min_layer_height,Min,coFloats,The lowest printable layer height for extruder. Used tp limits the minimum layer hight when enable adaptive layer height,Unchanged,
Printer,Extruder 1,Lift Z Enforcement,retract_lift_above,Only lift Z above,coFloats,If you set this to a positive value; Z lift will only take place above the specified absolute Z.,Unchanged,
Printer,Extruder 1,Lift Z Enforcement,retract_lift_below,Only lift Z below,coFloats,If you set this to a positive value; Z lift will only take place below the specified absolute Z.,Unchanged,
Printer,Extruder 1,Lift Z Enforcement,retract_lift_enforce,On surfaces,coEnums,Enforce Z Hop behavior. This setting is impacted by the above settings (Only lift Z above/below).,Unchanged,
Printer,Extruder 1,Position,extruder_offset,Extruder offset,coPoints,,Unchanged,
Printer,Extruder 1,Retraction,deretraction_speed,Deretraction Speed,coFloats,Speed for reloading filament into extruder. Zero means same speed with retraction,Unchanged,
Printer,Extruder 1,Retraction,retract_before_wipe,Retract amount before wipe,coPercents,The length of fast retraction before wipe; relative to retraction length,Unchanged,
Printer,Extruder 1,Retraction,retract_restart_extra,Extra length on restart,coFloats,When the retraction is compensated after the travel move; the extruder will push this additional amount of filament. This setting is rarely needed.,Unchanged,
Printer,Extruder 1,Retraction,retract_when_changing_layer,Retract when change layer,coBools,Force a retraction when changes layer,Unchanged,
Printer,Extruder 1,Retraction,retraction_length,Length,coFloats,Some amount of material in extruder is pulled back to avoid ooze during long travel. Set zero to disable retraction,Unchanged,
Printer,Extruder 1,Retraction,retraction_minimum_travel,Travel distance threshold,coFloats,Only trigger retraction when the travel distance is longer than this threshold,Unchanged,
Printer,Extruder 1,Retraction,retraction_speed,Retraction Speed,coFloats,Speed of retractions,Unchanged,
Printer,Extruder 1,Retraction,travel_slope,Traveling angle,coFloats,Traveling angle for Slope and Spiral Z hop type. Setting it to 90° results in Normal Lift,Added,
Printer,Extruder 1,Retraction,wipe,Wipe while retracting,coBools,Move nozzle along the last extrusion path when retracting to clean leaked material on nozzle. This can minimize blob when print new part after travel,Unchanged,
Printer,Extruder 1,Retraction,wipe_distance,Wipe Distance,coFloats,Discribe how long the nozzle will move along the last path when retracting. ;;Depending on how long the wipe operation lasts; how fast and long the extruder/filament retraction settings are; a retraction move may be needed to retract the remaining filament. ;;Setting a value in the retract amount before wipe setting below will perform any excess retraction before the wipe; else it will be performed after.,Unchanged,
Printer,Extruder 1,Retraction,z_hop,Z hop when retract,coFloats,Whenever the retraction is done; the nozzle is lifted a little to create clearance between nozzle and the print. It prevents nozzle from hitting the print when travel move. Using spiral line to lift z can prevent stringing,Unchanged,
Printer,Extruder 1,Retraction,z_hop_types,Z hop type,coEnums,Z hop type,Unchanged,
Printer,Extruder 1,Retraction when switching material,long_retractions_when_cut,Long retraction when cut(experimental),coBools,Experimental feature.Retracting and cutting off the filament at a longer distance during changes to minimize purge.While this reduces flush significantly; it may also raise the risk of nozzle clogs or other printing problems.,Added,
Printer,Extruder 1,Retraction when switching material,retract_length_toolchange,Length,coFloats,,Unchanged,
Printer,Extruder 1,Retraction when switching material,retract_restart_extra_toolchange,Extra length on restart,coFloats,When the retraction is compensated after changing tool; the extruder will push this additional amount of filament.,Unchanged,
Printer,Extruder 1,Retraction when switching material,retraction_distances_when_cut,Retraction distance when cut,coFloats,Experimental feature.Retraction length before cutting off during filament change,Added,
Printer,Extruder 1,Size,nozzle_diameter,Nozzle diameter,coFloats,Diameter of nozzle,Unchanged,
Printer,Machine gcode,Before layer change G-code,before_layer_change_gcode,Before layer change G-code,coString,This G-code is inserted at every layer change before lifting z,Unchanged,
Printer,Machine gcode,Change extrusion role G-code,change_extrusion_role_gcode,Change extrusion role G-code,coString,This gcode is inserted when the extrusion role is changed,Unchanged,
Printer,Machine gcode,Change filament G-code,change_filament_gcode,Change filament G-code,coString,This gcode is inserted when change filament; including T command to trigger tool change,Unchanged,
Printer,Machine gcode,Layer change G-code,layer_change_gcode,Layer change G-code,coString,This gcode part is inserted at every layer change after lift z,Unchanged,
Printer,Machine gcode,Machine end G-code,machine_end_gcode,End G-code,coString,End G-code when finish the whole printing,Unchanged,
Printer,Machine gcode,Machine start G-code,machine_start_gcode,Start G-code,coString,Start G-code when start the whole printing,Unchanged,
Printer,Machine gcode,Pause G-code,machine_pause_gcode,Pause G-code,coString,This G-code will be used as a code for the pause print. User can insert pause G-code in gcode viewer,Unchanged,
Printer,Machine gcode,Printing by object G-code,printing_by_object_gcode,Between Object Gcode,coString,Insert Gcode between objects. This parameter will only come into effect when you print your models object by object,Unchanged,
Printer,Machine gcode,Template Custom G-code,template_custom_gcode,Custom G-code,coString,This G-code will be used as a custom code,Unchanged,
Printer,Machine gcode,Time lapse G-code,time_lapse_gcode,Time lapse G-code,coString,,Unchanged,
Printer,Motion ability,Acceleration limitation,machine_max_acceleration_e,,coFloats,Maximum acceleration of the E axis,Unchanged,
Printer,Motion ability,Acceleration limitation,machine_max_acceleration_extruding,,coFloats,Maximum acceleration for extruding (M204 P),Unchanged,
Printer,Motion ability,Acceleration limitation,machine_max_acceleration_retracting,,coFloats,Maximum acceleration for retracting (M204 R),Unchanged,
Printer,Motion ability,Acceleration limitation,machine_max_acceleration_travel,,coFloats,Maximum acceleration for travel (M204 T); it only applies to Marlin 2,Unchanged,
Printer,Motion ability,Acceleration limitation,machine_max_acceleration_x,,coFloats,Maximum acceleration of the X axis,Unchanged,
Printer,Motion ability,Acceleration limitation,machine_max_acceleration_y,,coFloats,Maximum acceleration of the Y axis,Unchanged,
Printer,Motion ability,Acceleration limitation,machine_max_acceleration_z,,coFloats,Maximum acceleration of the Z axis,Unchanged,
Printer,Motion ability,Advanced,emit_machine_limits_to_gcode,Emit limits to G-code,coBool,If enabled; the machine limits will be emitted to G-code file.;This option will be ignored if the g-code flavor is set to Klipper.,Unchanged,
Printer,Motion ability,Jerk limitation,machine_max_jerk_e,,coFloats,Maximum jerk of the E axis,Unchanged,
Printer,Motion ability,Jerk limitation,machine_max_jerk_x,,coFloats,Maximum jerk of the X axis,Unchanged,
Printer,Motion ability,Jerk limitation,machine_max_jerk_y,,coFloats,Maximum jerk of the Y axis,Unchanged,
Printer,Motion ability,Jerk limitation,machine_max_jerk_z,,coFloats,Maximum jerk of the Z axis,Unchanged,
Printer,Motion ability,Speed limitation,machine_max_speed_e,,coFloats,Maximum speed of E axis,Unchanged,
Printer,Motion ability,Speed limitation,machine_max_speed_x,,coFloats,Maximum speed of X axis,Unchanged,
Printer,Motion ability,Speed limitation,machine_max_speed_y,,coFloats,Maximum speed of Y axis,Unchanged,
Printer,Motion ability,Speed limitation,machine_max_speed_z,,coFloats,Maximum speed of Z axis,Unchanged,
Printer,Multimaterial,Single extruder multimaterial parameters,cooling_tube_length,Cooling tube length,coFloat,Length of the cooling tube to limit space for cooling moves inside it.,Unchanged,
Printer,Multimaterial,Single extruder multimaterial parameters,cooling_tube_retraction,Cooling tube position,coFloat,Distance of the center-point of the cooling tube from the extruder tip.,Unchanged,
Printer,Multimaterial,Single extruder multimaterial parameters,extra_loading_move,Extra loading distance,coFloat,When set to zero; the distance the filament is moved from parking position during load is exactly the same as it was moved back during unload. When positive; it is loaded further;  if negative; the loading move is shorter than unloading.,Unchanged,
Printer,Multimaterial,Single extruder multimaterial parameters,high_current_on_filament_swap,High extruder current on filament swap,coBool,It may be beneficial to increase the extruder motor current during the filament exchange sequence to allow for rapid ramming feed rates and to overcome resistance when loading a filament with an ugly shaped tip.,Unchanged,
Printer,Multimaterial,Single extruder multimaterial parameters,parking_pos_retraction,Filament parking position,coFloat,Distance of the extruder tip from the position where the filament is parked when unloaded. This should match the value in printer firmware.,Unchanged,
Printer,Multimaterial,Single extruder multimaterial setup,manual_filament_change,Manual Filament Change,coBool,Enable this option to omit the custom Change filament G-code only at the beginning of the print. The tool change command (e.g.; T0) will be skipped throughout the entire print. This is useful for manual multi-material printing; where we use M600/PAUSE to trigger the manual filament change action.,Unchanged,
Printer,Multimaterial,Single extruder multimaterial setup,single_extruder_multi_material,Single Extruder Multi Material,coBool,Use single nozzle to print multi filament,Unchanged,
Printer,Multimaterial,Wipe tower,enable_filament_ramming,Enable filament ramming,coBool,Enable filament ramming,Unchanged,
Printer,Multimaterial,Wipe tower,purge_in_prime_tower,Purge in prime tower,coBool,Purge remaining filament into prime tower,Unchanged,
Printer,Notes,Notes,printer_notes,Printer notes,coString,You can put your notes regarding the printer here.,Unchanged,
Profile,Multimaterial,Advanced,interlocking_beam,Use beam interlocking,coBool,Generate interlocking beam structure at the locations where different filaments touch. This improves the adhesion between filaments; especially models printed in different materials.,Added,
Profile,Multimaterial,Advanced,interlocking_beam_layer_count,Interlocking beam layers,coInt,The height of the beams of the interlocking structure; measured in number of layers. Less layers is stronger; but more prone to defects.,Added,
Profile,Multimaterial,Advanced,interlocking_beam_width,Interlocking beam width,coFloat,The width of the interlocking structure beams.,Added,
Profile,Multimaterial,Advanced,interlocking_boundary_avoidance,Interlocking boundary avoidance,coInt,The distance from the outside of a model where interlocking structures will not be generated; measured in cells.,Added,
Profile,Multimaterial,Advanced,interlocking_depth,Interlocking depth,coInt,The distance from the boundary between filaments to generate interlocking structure; measured in cells. Too few cells will result in poor adhesion.,Added,
Profile,Multimaterial,Advanced,interlocking_orientation,Interlocking direction,coFloat,Orientation of interlock beams.,Added,
Profile,Multimaterial,Advanced,mmu_segmented_region_interlocking_depth,Interlocking depth of a segmented region,coFloat,"Interlocking depth of a segmented region. It will be ignored if ""mmu_segmented_region_max_width"" is zero or if ""mmu_segmented_region_interlocking_depth""is bigger then ""mmu_segmented_region_max_width"". Zero disables this feature.",Unchanged,
Profile,Multimaterial,Advanced,mmu_segmented_region_max_width,Maximum width of a segmented region,coFloat,Maximum width of a segmented region. Zero disables this feature.,Unchanged,
Profile,Multimaterial,Filament for Features,solid_infill_filament,Solid infill,coInt,Filament to print solid infill,Unchanged,
Profile,Multimaterial,Filament for Features,sparse_infill_filament,Infill,coInt,Filament to print internal sparse infill.,Unchanged,
Profile,Multimaterial,Filament for Features,wall_filament,Walls,coInt,Filament to print walls,Unchanged,
Profile,Multimaterial,Filament for Features,wipe_tower_filament,Wipe tower,coInt,The extruder to use when printing perimeter of the wipe tower. Set to 0 to use the one that is available (non-soluble would be preferred).,Added,
Profile,Multimaterial,Flush options,flush_into_infill,Flush into objects' infill,coBool,Purging after filament change will be done inside objects' infills. This may lower the amount of waste and decrease the print time. If the walls are printed with transparent filament; the mixed color infill will be seen outside. It will not take effect; unless the prime tower is enabled.,Unchanged,
Profile,Multimaterial,Flush options,flush_into_objects,Flush into this object,coBool,This object will be used to purge the nozzle after a filament change to save filament and decrease the print time. Colours of the objects will be mixed as a result. It will not take effect; unless the prime tower is enabled.,Unchanged,
Profile,Multimaterial,Flush options,flush_into_support,Flush into objects' support,coBool,Purging after filament change will be done inside objects' support. This may lower the amount of waste and decrease the print time. It will not take effect; unless the prime tower is enabled.,Unchanged,
Profile,Multimaterial,Ooze prevention,ooze_prevention,Enable,coBool,This option will drop the temperature of the inactive extruders to prevent oozing.,Unchanged,
Profile,Multimaterial,Ooze prevention,preheat_steps,Preheat steps,coInt,Insert multiple preheat commands(e.g. M104.1). Only useful for Prusa XL. For other printers; please set it to 1.,Added,
Profile,Multimaterial,Ooze prevention,preheat_time,Preheat time,coFloat,To reduce the waiting time after tool change; Creality can preheat the next tool while the current tool is still in use. This setting specifies the time in seconds to preheat the next tool. Creality will insert a M104 command to preheat the tool in advance.,Added,
Profile,Multimaterial,Ooze prevention,standby_temperature_delta,Temperature variation,coInt,Temperature difference to be applied when an extruder is not active. The value is not used when 'idle_temperature' in filament settings is set to non zero value.,Unchanged,
Profile,Multimaterial,Prime tower,enable_prime_tower,Enable,coBool,The wiping tower can be used to clean up the residue on the nozzle and stabilize the chamber pressure inside the nozzle; in order to avoid appearance defects when printing objects.,Unchanged,
Profile,Multimaterial,Prime tower,prime_tower_brim_width,Brim width,coFloat,Brim width,Unchanged,
Profile,Multimaterial,Prime tower,prime_tower_width,Width,coFloat,Width of prime tower,Unchanged,
Profile,Multimaterial,Prime tower,prime_volume,Prime volume,coFloat,The volume of material to prime extruder on tower.,Unchanged,
Profile,Multimaterial,Prime tower,single_extruder_multi_material_priming,Prime all printing extruders,coBool,If enabled; all printing extruders will be primed at the front edge of the print bed at the start of the print.,Unchanged,
Profile,Multimaterial,Prime tower,wipe_tower_bridging,Maximal bridging distance,coFloat,Maximal distance between supports on sparse infill sections.,Unchanged,
Profile,Multimaterial,Prime tower,wipe_tower_cone_angle,Stabilization cone apex angle,coFloat,Angle at the apex of the cone that is used to stabilize the wipe tower. Larger angle means wider base.,Unchanged,
Profile,Multimaterial,Prime tower,wipe_tower_extra_flow,Extra flow for purging,coPercent,Extra flow used for the purging lines on the wipe tower. This makes the purging lines thicker or narrower than they normally would be. The spacing is adjusted automatically.,Added,
Profile,Multimaterial,Prime tower,wipe_tower_extra_spacing,Wipe tower purge lines spacing,coPercent,Spacing of purge lines on the wipe tower.,Unchanged,
Profile,Multimaterial,Prime tower,wipe_tower_max_purge_speed,Maximum wipe tower print speed,coFloat,The maximum print speed when purging in the wipe tower and printing the wipe tower sparse layers. When purging; if the sparse infill speed or calculated speed from the filament max volumetric speed is lower; the lowest will be used instead.;;When printing the sparse layers; if the internal perimeter speed or calculated speed from the filament max volumetric speed is lower; the lowest will be used instead.;;Increasing this speed may affect the tower's stability as well as increase the force with which the nozzle collides with any blobs that may have formed on the wipe tower.;;Before increasing this parameter beyond the default of 90mm/sec; make sure your printer can reliably bridge at the increased speeds and that ooze when tool changing is well controlled.;;For the wipe tower external perimeters the internal perimeter speed is used regardless of this setting.,Added,
Profile,Multimaterial,Prime tower,wipe_tower_no_sparse_layers,No sparse layers (beta),coBool,If enabled; the wipe tower will not be printed on layers with no toolchanges. On layers with a toolchange; extruder will travel downward to print the wipe tower. User is responsible for ensuring there is no collision with the print.,Unchanged,
Profile,Multimaterial,Prime tower,wipe_tower_rotation_angle,Wipe tower rotation angle,coFloat,Wipe tower rotation angle with respect to x-axis.,Unchanged,
Profile,Others,Brim,brim_ears_detection_length,Brim ear detection radius,coFloat,The geometry will be decimated before dectecting sharp angles. This parameter indicates the minimum length of the deviation for the decimation.;0 to deactivate,Unchanged,
Profile,Others,Brim,brim_ears_max_angle,Brim ear max angle,coFloat,Maximum angle to let a brim ear appear. ;If set to 0; no brim will be created. ;If set to ~180; brim will be created on everything but straight sections.,Unchanged,
Profile,Others,Brim,brim_object_gap,Brim-object gap,coFloat,A gap between innermost brim line and object can make brim be removed more easily,Unchanged,
Profile,Others,Brim,brim_type,Brim type,coEnum,This controls the generation of the brim at outer and/or inner side of models. Auto means the brim width is analysed and calculated automatically.,Unchanged,
Profile,Others,Brim,brim_width,Brim width,coFloat,Distance from model to the outermost brim line,Unchanged,
Profile,Others,G-code output,exclude_object,Exclude objects,coBool,Enable this option to add EXCLUDE OBJECT command in g-code,Unchanged,
Profile,Others,G-code output,filename_format,Filename format,coString,User can self-define the project file name when export,Unchanged,
Profile,Others,G-code output,gcode_add_line_number,Add line number,coBool,Enable this to add line number(Nx) at the beginning of each G-Code line,Unchanged,
Profile,Others,G-code output,gcode_comments,Verbose G-code,coBool,Enable this to get a commented G-code file; with each line explained by a descriptive text. If you print from SD card; the additional weight of the file could make your firmware slow down.,Unchanged,
Profile,Others,G-code output,gcode_label_objects,Label objects,coBool,Enable this to add comments into the G-Code labeling print moves with what object they belong to; which is useful for the Octoprint CancelObject plugin. This settings is NOT compatible with Single Extruder Multi Material setup and Wipe into Object / Wipe into Infill.,Unchanged,
Profile,Others,G-code output,reduce_infill_retraction,Reduce infill retraction,coBool,Don't retract when the travel is in infill area absolutely. That means the oozing can't been seen. This can reduce times of retraction for complex model and save printing time; but make slicing and G-code generating slower,Unchanged,
Profile,Others,Notes,notes,Configuration notes,coString,You can put here your personal notes. This text will be added to the G-code header comments.,Unchanged,
Profile,Others,Post-processing Scripts,post_process,Post-processing Scripts,coStrings,If you want to process the output G-code through custom scripts; just list their absolute paths here. Separate multiple scripts with a semicolon. Scripts will be passed the absolute path to the G-code file as the first argument; and they can access the Creality Print config settings by reading environment variables.,Unchanged,
Profile,Others,Skirt,draft_shield,Draft shield,coEnum,A draft shield is useful to protect an ABS or ASA print from warping and detaching from print bed due to wind draft. It is usually needed only with open frame printers; i.e. without an enclosure. ;;Options:;Enabled = skirt is as tall as the highest printed object.;Limited = skirt is as tall as specified by skirt height.;;Note: With the draft shield active; the skirt will be printed at skirt distance from the object. Therefore; if brims are active it may intersect with them. To avoid this; increase the skirt distance value.;,Unchanged,
Profile,Others,Skirt,min_skirt_length,Skirt minimum extrusion length,coFloat,Minimum filament extrusion length in mm when printing the skirt. Zero means this feature is disabled.;;Using a non zero value is useful if the printer is set up to print without a prime line.,Added,
Profile,Others,Skirt,skirt_distance,Skirt distance,coFloat,Distance from skirt to brim or object,Unchanged,
Profile,Others,Skirt,skirt_height,Skirt height,coInt,How many layers of skirt. Usually only one layer,Unchanged,
Profile,Others,Skirt,skirt_loops,Skirt loops,coInt,Number of loops for the skirt. Zero means disabling skirt,Unchanged,
Profile,Others,Skirt,skirt_speed,Skirt speed,coFloat,Speed of skirt; in mm/s. Zero means use default layer extrusion speed.,Unchanged,
Profile,Others,Special mode,fuzzy_skin,Fuzzy Skin,coEnum,Randomly jitter while printing the wall; so that the surface has a rough look. This setting controls the fuzzy position,Unchanged,
Profile,Others,Special mode,fuzzy_skin_first_layer,Apply fuzzy skin to first layer,coBool,Whether to apply fuzzy skin on the first layer,Unchanged,
Profile,Others,Special mode,fuzzy_skin_point_distance,Fuzzy skin point distance,coFloat,The average diatance between the random points introducded on each line segment,Unchanged,
Profile,Others,Special mode,fuzzy_skin_thickness,Fuzzy skin thickness,coFloat,The width within which to jitter. It's adversed to be below outer wall line width,Unchanged,
Profile,Others,Special mode,ignore_inner_color,Ignore inner color,coBool,,Added,
Profile,Others,Special mode,print_order,Intra-layer order,coEnum,Print order within a single layer,Unchanged,
Profile,Others,Special mode,print_sequence,Print sequence,coEnum,Print sequence; layer by layer or object by object,Unchanged,
Profile,Others,Special mode,slicing_mode,Slicing Mode,coEnum,"Use ""Even-odd"" for 3DLabPrint airplane models. Use ""Close holes"" to close all holes in the model.",Unchanged,
Profile,Others,Special mode,spiral_mode,Spiral vase,coBool,Spiralize smooths out the z moves of the outer contour. And turns a solid model into a single walled print with solid bottom layers. The final generated model has no seam,Unchanged,
Profile,Others,Special mode,spiral_mode_max_xy_smoothing,Max XY Smoothing,coFloatOrPercent,Maximum distance to move points in XY to try to achieve a smooth spiralIf expressed as a %; it will be computed over nozzle diameter,Unchanged,
Profile,Others,Special mode,spiral_mode_smooth,Smooth Spiral,coBool,Smooth Spiral smoothes out X and Y moves as wellresulting in no visible seam at all; even in the XY directions on walls that are not vertical,Unchanged,
Profile,Others,Special mode,timelapse_type,Timelapse,coEnum,If smooth or traditional mode is selected; a timelapse video will be generated for each print. After each layer is printed; a snapshot is taken with the chamber camera. All of these snapshots are composed into a timelapse video when printing completes. If smooth mode is selected; the toolhead will move to the excess chute after each layer is printed and then take a snapshot. Since the melt filament may leak from the nozzle during the process of taking a snapshot; prime tower is required for smooth mode to wipe nozzle.,Unchanged,
Profile,Quality,Bridging,bridge_density,Bridge density,coPercent,Density of external bridges. 100% means solid bridge. Default is 100%.,Unchanged,
Profile,Quality,Bridging,bridge_flow,Bridge flow ratio,coFloat,Decrease this value slightly(for example 0.9) to reduce the amount of material for bridge; to improve sag,Unchanged,
Profile,Quality,Bridging,counterbore_hole_bridging,Bridge counterbore holes,coEnum,This option creates bridges for counterbore holes; allowing them to be printed without support. Available modes include:;1. None: No bridge is created.;2. Partially Bridged: Only a part of the unsupported area will be bridged.;3. Sacrificial Layer: A full sacrificial bridge layer is created.,Unchanged,
Profile,Quality,Bridging,dont_filter_internal_bridges,Don't filter out small internal bridges (beta),coEnum,This option can help reducing pillowing on top surfaces in heavily slanted or curved models.;;By default; small internal bridges are filtered out and the internal solid infill is printed directly over the sparse infill. This works well in most cases; speeding up printing without too much compromise on top surface quality. ;;However; in heavily slanted or curved models especially where too low sparse infill density is used; this may result in curling of the unsupported solid infill; causing pillowing.;;Enabling this option will print internal bridge layer over slightly unsupported internal solid infill. The options below control the amount of filtering; i.e. the amount of internal bridges created.;;Disabled - Disables this option. This is the default behaviour and works well in most cases.;;Limited filtering - Creates internal bridges on heavily slanted surfaces; while avoiding creating uncessesary interal bridges. This works well for most difficult models.;;No filtering - Creates internal bridges on every potential internal overhang. This option is useful for heavily slanted top surface models. However; in most cases it creates too many unecessary bridges.,Unchanged,
Profile,Quality,Bridging,internal_bridge_flow,Internal bridge flow ratio,coFloat,This value governs the thickness of the internal bridge layer. This is the first layer over sparse infill. Decrease this value slightly (for example 0.9) to improve surface quality over sparse infill.,Unchanged,
Profile,Quality,Bridging,thick_bridges,Thick bridges,coBool,If enabled; bridges are more reliable; can bridge longer distances; but may look worse. If disabled; bridges look better but are reliable just for shorter bridged distances.,Unchanged,
Profile,Quality,Bridging,thick_internal_bridges,Thick internal bridges,coBool,If enabled; thick internal bridges will be used. It's usually recommended to have this feature turned on. However; consider turning it off if you are using large nozzles.,Unchanged,
Profile,Quality,Ironing,ironing_angle,Ironing angle,coFloat,The angle ironing is done at. A negative number disables this function and uses the default method.,Unchanged,
Profile,Quality,Ironing,ironing_flow,Ironing flow,coPercent,The amount of material to extrude during ironing. Relative to flow of normal layer height. Too high value results in overextrusion on the surface,Unchanged,
Profile,Quality,Ironing,ironing_pattern,Ironing Pattern,coEnum,The pattern that will be used when ironing,Unchanged,
Profile,Quality,Ironing,ironing_spacing,Ironing line spacing,coFloat,The distance between the lines of ironing,Unchanged,
Profile,Quality,Ironing,ironing_speed,Ironing speed,coFloat,Print speed of ironing lines,Unchanged,
Profile,Quality,Ironing,ironing_type,Ironing Type,coEnum,Ironing is using small flow to print on same height of surface again to make flat surface more smooth. This setting controls which layer being ironed,Unchanged,
Profile,Quality,Layer height,initial_layer_print_height,Initial layer height,coFloat,Height of initial layer. Making initial layer height to be thick slightly can improve build plate adhension,Unchanged,
Profile,Quality,Layer height,layer_height,Layer height,coFloat,Slicing height for each layer. Smaller layer height means more accurate and more printing time,Unchanged,
Profile,Quality,Line width,initial_layer_line_width,Initial layer,coFloatOrPercent,Line width of initial layer. If expressed as a %; it will be computed over the nozzle diameter.,Unchanged,
Profile,Quality,Line width,inner_wall_line_width,Inner wall,coFloatOrPercent,Line width of inner wall. If expressed as a %; it will be computed over the nozzle diameter.,Unchanged,
Profile,Quality,Line width,internal_solid_infill_line_width,Internal solid infill,coFloatOrPercent,Line width of internal solid infill. If expressed as a %; it will be computed over the nozzle diameter.,Unchanged,
Profile,Quality,Line width,line_width,Default,coFloatOrPercent,Default line width if other line widths are set to 0. If expressed as a %; it will be computed over the nozzle diameter.,Unchanged,
Profile,Quality,Line width,outer_wall_line_width,Outer wall,coFloatOrPercent,Line width of outer wall. If expressed as a %; it will be computed over the nozzle diameter.,Unchanged,
Profile,Quality,Line width,sparse_infill_line_width,Sparse infill,coFloatOrPercent,Line width of internal sparse infill. If expressed as a %; it will be computed over the nozzle diameter.,Unchanged,
Profile,Quality,Line width,support_line_width,Support,coFloatOrPercent,Line width of support. If expressed as a %; it will be computed over the nozzle diameter.,Unchanged,
Profile,Quality,Line width,top_surface_line_width,Top surface,coFloatOrPercent,Line width for top surfaces. If expressed as a %; it will be computed over the nozzle diameter.,Unchanged,
Profile,Quality,Overhangs,detect_overhang_wall,Detect overhang wall,coBool,Detect the overhang percentage relative to line width and use different speed to print. For 100%% overhang; bridge speed is used.,Unchanged,
Profile,Quality,Overhangs,extra_perimeters_on_overhangs,Extra perimeters on overhangs,coBool,Create additional perimeter paths over steep overhangs and areas where bridges cannot be anchored. ,Unchanged,
Profile,Quality,Overhangs,make_overhang_printable,Make overhangs printable,coBool,Modify the geometry to print overhangs without support material.,Unchanged,
Profile,Quality,Overhangs,make_overhang_printable_angle,Make overhangs printable - Maximum angle,coFloat,Maximum angle of overhangs to allow after making more steep overhangs printable.90° will not change the model at all and allow any overhang; while 0 will replace all overhangs with conical material.,Unchanged,
Profile,Quality,Overhangs,make_overhang_printable_hole_size,Make overhangs printable - Hole area,coFloat,Maximum area of a hole in the base of the model before it's filled by conical material.A value of 0 will fill all the holes in the model base.,Unchanged,
Profile,Quality,Overhangs,overhang_reverse,Reverse on odd,coBool,Extrude perimeters that have a part over an overhang in the reverse direction on odd layers. This alternating pattern can drastically improve steep overhangs.;;This setting can also help reduce part warping due to the reduction of stresses in the part walls.,Unchanged,
Profile,Quality,Overhangs,overhang_reverse_internal_only,Reverse only internal perimeters,coBool,Apply the reverse perimeters logic only on internal perimeters. ;;This setting greatly reduces part stresses as they are now distributed in alternating directions. This should reduce part warping while also maintaining external wall quality. This feature can be very useful for warp prone material; like ABS/ASA; and also for elastic filaments; like TPU and Silk PLA. It can also help reduce warping on floating regions over supports.;;For this setting to be the most effective; it is recomended to set the Reverse Threshold to 0 so that all internal walls print in alternating directions on odd layers irrespective of their overhang degree.,Unchanged,
